Country,Latitude,Longitude,Total_Subscribers,Total_Video_Views
Afghanistan,33.93911,67.709953,20400000,13397000296
Andorra,NA,NA,15100000,2400037562
Argentina,-38.416097,-63.616672,328500000,194415353954
Australia,-25.274398,133.775136,172000000,69141812396
Bangladesh,23.684994,90.356331,13900000,12129583055
Barbados,13.193887,-59.543198,41900000,22477745835
Brazil,-14.235004,-51.92528,1221800000,481208974267
Canada,56.130366,-106.346771,363900000,191320574087
Chile,-35.675147,-71.542969,87200000,29347556577
China,35.86166,104.195397,17600000,2977741577
Colombia,4.570868,-74.297333,264500000,154197807651
Cuba,21.521757,-77.781167,46300000,22936630813
Ecuador,-1.831239,-78.183406,27700000,5492461363
Egypt,26.820553,30.802498,30600000,9824740566
El Salvador,13.794185,-88.89653,46100000,10323391593
Finland,61.92411,25.748151,13200000,2036408398
France,46.227638,2.213749,83900000,30557640065
Germany,51.165691,10.451526,116400000,54232247240
India,20.593684,78.96288,4310600000,2281048375204
Indonesia,-0.789275,113.921327,534100000,151010669055
Iraq,33.223191,43.679291,30200000,17007652162
Italy,41.87194,12.56738,39400000,19894897856
Japan,36.204824,138.252924,189100000,85682017434
Jordan,30.585164,36.238414,67000000,53090079884
Kuwait,29.31166,47.481766,30500000,4521573939
Latvia,56.879635,24.603189,20200000,20919403720
Malaysia,4.210484,101.975766,17700000,9059696049
Mexico,23.634501,-102.552784,626900000,198219932123
Morocco,31.791702,-7.09262,14500000,4315486422
Netherlands,52.132633,5.291266,58100000,23866285774
Pakistan,30.375321,69.345116,155400000,113293417419
Peru,-9.189967,-75.015152,14400000,1629801448
Philippines,12.879721,121.774017,240100000,129128043889
Russia,61.52401,105.318756,407200000,232996328527
Samoa,-13.759029,-172.104629,13100000,6637820731
Saudi Arabia,23.885942,45.079162,179100000,79666984516
Singapore,1.352083,103.819836,59700000,28978903929
South Korea,35.907757,127.766922,481700000,225591685416
Spain,40.463667,-3.74922,385100000,132520734399
Sweden,60.128161,18.643501,63000000,20036902050
Switzerland,46.818188,8.227512,19400000,5529131886
Thailand,15.870032,100.992541,386500000,264317974741
Turkey,38.963745,35.243322,91600000,92399244760
Ukraine,48.379433,31.16558,125600000,58465331234
United Arab Emirates,23.424076,53.847818,148200000,75320613402
United Kingdom,55.378051,-3.435973,917400000,430566531608
United States,37.09024,-95.712891,7329500000,3690291816959
Venezuela,6.42375,-66.58973,31200000,9673649438
Vietnam,14.058324,108.277199,47800000,25088312556
nan,NA,NA,2922200000,1185152360953
